"",,CIVIL ENGINEERING[Full Time]
"",Course Code,Course
MA202,,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND"
"",,NUMERICAL METHODS
CE202,,STRUCTURAL ANALYSIS I
CE204,,CONSTRUCTION TECHNOLOGY
CE206,,FLUID MECHANICS II
CE208,,GEOTECHNICAL ENGINEERING I
HS210,,LIFE SKILLS
CE232,,MATERIALS TESTING LAB I
CE234,,FLUID MECHANICS LAB
TVE17EE023,"HS200(A+), MA202(B+), EE202(B), EE204(A), EE206(A), EE208(B+), EE232(O), EE234(O)"
TVE17EE024,"HS200(A+), MA202(A), EE202(B+), EE204(B+), EE206(B+), EE208(B+), EE232(A+), EE234(O)"
TVE17EE025,"HS200(O), MA202(O), EE202(O), EE204(A+), EE206(A+), EE208(O), EE232(O), EE234(O)"
TVE17EE026,"HS200(O), MA202(O), EE202(A), EE204(B+), EE206(B+), EE208(B+), EE232(A+), EE234(O)"
TVE17EE027,"HS200(A+), MA202(B+), EE202(A), EE204(F), EE206(B), EE208(A), EE232(A+), EE234(O)"
TVE17EE028,"HS200(B+), MA202(B), EE202(C), EE204(B), EE206(B), EE208(B+), EE232(A), EE234(A)"
TVE17EE029,"HS200(A+), MA202(A), EE202(B+), EE204(B+), EE206(A), EE208(A), EE232(O), EE234(O)"
TVE17EE030,"HS200(O), MA202(O), EE202(A+), EE204(O), EE206(O), EE208(O), EE232(O), EE234(O)"
TVE17EE031,"HS200(A+), MA202(A), EE202(B+), EE204(A+), EE206(A), EE208(O), EE232(A+), EE234(A+)"
TVE17EE032,"HS200(A+), MA202(C), EE202(B), EE204(B), EE206(B), EE208(A), EE232(A), EE234(A+)"
TVE17EE033,"HS200(A+), MA202(O), EE202(O), EE204(O), EE206(B+), EE208(O), EE232(O), EE234(O)"
TVE17EE034,"HS200(A), MA202(B+), EE202(B+), EE204(A), EE206(B), EE208(A+), EE232(O), EE234(O)"
TVE17EE035,"HS200(A), MA202(O), EE202(B+), EE204(B+), EE206(B+), EE208(A+), EE232(A), EE234(A+)"
